"","Dia","Mes","Anio","pred"
"212","18","9","12",1034.98609660062
"213","19","9","12",1192.32539943502
"214","20","9","12",1232.53874887977
"215","21","9","12",1267.95159141231
"216","22","9","12",366.329271612527
"217","24","9","12",832.560511340405
"218","25","9","12",1107.20308153502
"219","26","9","12",1258.85095576689
"220","27","9","12",1402.95907736318
"221","28","9","12",1524.1600340721
"222","29","9","12",744.866236980424
"223","01","10","12",617.941560380227
"224","02","10","12",814.323355321406
"225","03","10","12",1038.09973150841
"226","04","10","12",1131.72905861632
"227","05","10","12",1174.52916733994
"228","06","10","12",311.146490556141
"229","08","10","12",847.632542068727
"230","09","10","12",1030.40122744198
"231","10","10","12",1242.88567216097
"232","11","10","12",1242.80685155067
"233","12","10","12",1266.23033005198
"234","13","10","12",387.745938728916
"235","16","10","12",1025.43182437357
"236","17","10","12",1179.12428675418
"237","18","10","12",1205.03979260602
"238","19","10","12",1258.40505583613
"239","20","10","12",354.891765245856
"240","22","10","12",846.93629546699
"241","23","10","12",1093.71654455563
"242","24","10","12",1163.63463786337
"243","25","10","12",1277.25677754042
"244","26","10","12",1324.93061216799
"245","27","10","12",525.312093729275
"246","29","10","12",1225.47326083489
"247","30","10","12",1570.85182416195
"248","31","10","12",1436.04462098429
"249","01","11","12",1024.09280508158
"250","02","11","12",1057.12965180286
"251","03","11","12",235.529866052886
"252","06","11","12",1027.85106310656
"253","07","11","12",1190.87447786659
"254","08","11","12",1253.78378677008
"255","09","11","12",1273.20752392344
"256","10","11","12",440.315806705446
"257","13","11","12",1104.45051127934
"258","14","11","12",1245.89345587204
"259","15","11","12",1258.99562119643
"260","16","11","12",1268.23812085503
"261","17","11","12",376.554421298656
"262","19","11","12",870.362557833957
"263","20","11","12",1071.59633779628
"264","21","11","12",1210.98321993311
"265","22","11","12",1253.08754016834
"266","23","11","12",1336.52284103709
"267","24","11","12",361.064772407847
"268","26","11","12",936.888114165821
"269","27","11","12",1242.01666627969
"270","28","11","12",1467.1916625929
"271","29","11","12",1631.62450553624
"272","30","11","12",1813.65812064341
"273","01","12","12",504.097524089341
"274","03","12","12",1073.78859254902
"275","04","12","12",1328.4383501745
"276","05","12","12",1475.21249850242
"277","06","12","12",1555.55646175363
"278","07","12","12",1614.60583690937
"279","10","12","12",1278.57453320158
"280","11","12","12",1439.51614310886
"281","12","12","12",1566.91366121445
"282","13","12","12",1632.1559099264
"283","14","12","12",1669.62481491481
"284","15","12","12",739.000340204189
"285","17","12","12",1214.81314779479
"286","18","12","12",1401.7490841642
"287","19","12","12",1559.0883869986
"288","20","12","12",1599.30173644334
"289","21","12","12",1634.71457897589
"290","22","12","12",733.092259176104
"291","24","12","12",1199.32349890398
"292","26","12","12",1625.61394333046
"293","27","12","12",1769.72206492676
"294","28","12","12",1890.92302163567
"295","29","12","12",1111.629224544
"296","31","12","12",1471.7334820249
"297","02","1","13",739.034736827197
"298","03","1","13",861.161591112235
"299","04","1","13",952.466400517819
"300","05","1","13",53.8643869087509
"301","08","1","13",831.714832190123
