"","Dia","Mes","Anio","pred"
"337",2,12,12,0
"338",3,12,12,1073.78859254216
"339",4,12,12,1328.43835016764
"340",5,12,12,1475.21249849556
"341",6,12,12,1555.55646174677
"342",7,12,12,1614.60583690251
"343",8,12,12,0
"344",9,12,12,0
"345",10,12,12,1278.57453319472
"346",11,12,12,1439.516143102
"347",12,12,12,1566.9136612076
"348",13,12,12,1632.15590991954
"349",14,12,12,1669.62481490795
"350",15,12,12,739.00034019733
"351",16,12,12,0
"352",17,12,12,1214.81314778793
"353",18,12,12,1401.74908415734
"354",19,12,12,1559.08838699174
"355",20,12,12,1599.30173643648
"356",21,12,12,1634.71457896903
"357",22,12,12,733.092259169245
"358",23,12,12,0
"359",24,12,12,1199.32349889712
"360",25,12,12,0
"361",26,12,12,1625.6139433236
"362",27,12,12,1769.7220649199
"363",28,12,12,1890.92302162881
"364",29,12,12,1111.62922453714
"365",30,12,12,0
"366",31,12,12,1471.73348201804
"367",1,1,13,0
"368",2,1,13,739.034736820337
"369",3,1,13,861.161591105375
"370",4,1,13,952.466400510958
"371",5,1,13,53.8643869018913
"372",6,1,13,0
"373",7,1,13,0
"374",8,1,13,831.714832183264
"375",9,1,13,955.112608940912
"376",10,1,13,1065.94753175793
"377",11,1,13,1063.54419344531
"378",12,1,13,145.56554961393
"379",13,1,13,0
"380",14,1,13,662.804070767647
"381",15,1,13,836.926666609611
"382",16,1,13,950.143205872505
"383",17,1,13,1002.18614635115
"384",18,1,13,1025.77713450066
"385",19,1,13,137.740275398073
"386",20,1,13,0
"387",21,1,13,627.89383482872
"388",22,1,13,831.018585581526
"389",23,1,13,1018.42792605456
"390",24,1,13,986.696497460336
"391",25,1,13,1097.99411943506
"392",26,1,13,204.265831729938
"393",27,1,13,0
"394",28,1,13,884.102277488507
"395",29,1,13,1209.55555094942
"396",30,1,13,1495.56320566088
"397",31,1,13,1259.10648058125
"398",1,2,13,958.57764704677
"399",2,2,13,50.2123714353603
"400",3,2,13,0
"401",4,2,13,678.17140257934
"402",5,2,13,884.316459522861
"403",6,2,13,1066.30994467604
"404",7,2,13,1127.6838375341
"405",8,2,13,1188.26862873527
"406",9,2,13,266.290243555936
"407",10,2,13,0
"408",11,2,13,789.249195513695
"409",12,2,13,976.0176222349
"410",13,2,13,1142.90939284882
"411",14,2,13,1182.70281553955
"412",15,2,13,1193.48046316162
"413",16,2,13,261.320840487528
"414",17,2,13,0
"415",18,2,13,751.48213656904
"416",19,2,13,968.192348019043
"417",20,2,13,1110.05521936576
"418",21,2,13,1147.79257960062
"419",22,2,13,1187.57238213353
"420",23,2,13,329.605560669583
"421",24,2,13,0
"422",25,2,13,823.699121503438
"423",26,2,13,1034.71790435091
"424",27,2,13,1280.47554784918
"425",28,2,13,1404.00102226041
"426",1,3,13,997.446519323027
"427",2,3,13,89.0812437116179
"428",3,3,13,0
"429",4,3,13,717.040274855597
"430",5,3,13,923.185331799119
"431",6,3,13,1105.1788169523
"432",7,3,13,1166.55270981036
"433",8,3,13,1227.13750101153
"434",9,3,13,305.159115832193
"435",10,3,13,0
"436",11,3,13,828.118067789953
"437",12,3,13,1014.88649451116
"438",13,3,13,1181.77826512507
"439",14,3,13,1221.57168781581
"440",15,3,13,1232.34933543788
"441",16,3,13,300.189712763786
"442",17,3,13,0
"443",18,3,13,790.351008845298
"444",19,3,13,1007.0612202953
"445",20,3,13,1148.92409164201
"446",21,3,13,1186.66145187688
"447",22,3,13,1226.44125440979
"448",23,3,13,368.474432945841
"449",24,3,13,0
"450",25,3,13,0
"451",26,3,13,1073.58677662717
"452",27,3,13,1319.34442012543
"453",28,3,13,0
"454",29,3,13,0
"455",30,3,13,845.609712552161
"456",31,3,13,0
"457",1,4,13,578.800155856686
"458",2,4,13,775.181950797865
"459",3,4,13,998.958326984872
"460",4,4,13,1092.58765409278
"461",5,4,13,1135.3877628164
"462",6,4,13,272.0050860326
"463",7,4,13,0
"464",8,4,13,808.491137545186
"465",9,4,13,991.259822918441
"466",10,4,13,1203.74426763743
"467",11,4,13,1203.66544702713
"468",12,4,13,1227.08892552844
"469",13,4,13,348.604534205375
"470",14,4,13,0
"471",15,4,13,813.702971971534
"472",16,4,13,986.290419850033
"473",17,4,13,1139.98288223064
"474",18,4,13,1165.89838808248
"475",19,4,13,1219.26365131259
"476",20,4,13,315.750360722315
"477",21,4,13,0
"478",22,4,13,807.794890943449
"479",23,4,13,1054.57514003209
"480",24,4,13,1124.49323333983
"481",25,4,13,1238.11537301688
"482",26,4,13,1285.78920764445
"483",27,4,13,486.170689205734
"484",28,4,13,0
"485",29,4,13,1186.33185631135
"486",30,4,13,1531.71041963841
"487",1,5,13,0
"488",2,5,13,961.0291622398
"489",3,5,13,1080.83149882252
"490",4,5,13,230.734185895407
"491",5,5,13,0
"492",6,5,13,768.405625323602
"493",7,5,13,990.799948699239
"494",8,5,13,1155.3587795047
"495",9,5,13,1177.10703436038
"496",10,5,13,1285.61743947508
"497",11,5,13,341.811978829762
"498",12,5,13,0
"499",13,5,13,0
"500",14,5,13,1045.81892670468
"501",15,5,13,1160.57061393104
"502",16,5,13,1172.13763129197
"503",17,5,13,1221.85605406829
"504",18,5,13,304.044919885107
"505",19,5,13,0
"506",20,5,13,812.150900013318
"507",21,5,13,1010.90869076576
"508",22,5,13,1154.66253290296
"509",23,5,13,1240.42235147402
"510",24,5,13,1206.36640517748
"511",25,5,13,376.261904819505
"512",26,5,13,0
"513",27,5,13,982.571228496736
"514",28,5,13,1267.11713342554
"515",29,5,13,1533.19949827086
"516",30,5,13,1717.55763108034
"517",31,5,13,1478.77638829839
"518",1,6,13,93.3810820592995
"519",2,6,13,0
"520",3,6,13,0
"521",4,6,13,917.721908144458
